smoothed_trust_fam,smoothed_trust_fam_se,sample_size,country,iso_code,gid_0,survey_date
0.322078,0.006118,5841.0,Taiwan,TWN,TWN,20201224
0.424089,0.046125,116.0,Tanzania,TZA,TZA,20201224
0.538653,0.004605,11720.0,Thailand,THA,THA,20201224
0.254645,0.01447,905.0,Tunisia,TUN,TUN,20201224
0.250145,0.005391,6449.0,Turkey,TUR,TUR,20201224
0.280205,0.006363,4987.0,Ukraine,UKR,UKR,20201224
0.405293,0.015847,966.0,United Arab Emirates,ARE,ARE,20201224
0.362056,0.005216,8491.0,United Kingdom,GBR,GBR,20201224
0.37668,0.010304,2227.0,Uruguay,URY,URY,20201224
0.290773,0.028691,253.0,Uzbekistan,UZB,UZB,20201224
0.517442,0.010759,2171.0,Venezuela,VEN,VEN,20201224
0.524967,0.007529,4406.0,Vietnam,VNM,VNM,20201224
0.266983,0.025474,292.0,Yemen,YEM,YEM,20201224
0.607066,0.023298,440.0,Afghanistan,AFG,AFG,20201225
0.419835,0.029568,285.0,Albania,ALB,ALB,20201225
0.214227,0.010967,1402.0,Algeria,DZA,DZA,20201225
0.528562,0.034414,209.0,Angola,AGO,AGO,20201225
0.396058,0.005204,8901.0,Argentina,ARG,ARG,20201225
0.297583,0.038163,147.0,Armenia,ARM,ARM,20201225
0.310167,0.005856,6277.0,Australia,AUS,AUS,20201225
0.24475,0.008336,2664.0,Austria,AUT,AUT,20201225
0.295719,0.022937,407.0,Azerbaijan,AZE,AZE,20201225
0.644082,0.010585,2073.0,Bangladesh,BGD,BGD,20201225
0.227852,0.013255,1020.0,Belarus,BLR,BLR,20201225
0.218528,0.007987,2766.0,Belgium,BEL,BEL,20201225
0.506589,0.010338,2331.0,Bolivia,BOL,BOL,20201225
0.319408,0.021762,488.0,Bosnia and Herzegovina,BIH,BIH,20201225
0.458085,0.002298,47021.0,Brazil,BRA,BRA,20201225
0.270718,0.011987,1384.0,Bulgaria,BGR,BGR,20201225
0.342441,0.03741,147.0,Burkina Faso,BFA,BFA,20201225
0.404315,0.031892,241.0,Cambodia,KHM,KHM,20201225
0.313604,0.033463,195.0,Cameroon,CMR,CMR,20201225
0.305933,0.004576,10178.0,Canada,CAN,CAN,20201225
0.472552,0.007256,4738.0,Chile,CHL,CHL,20201225
0.531754,0.004969,10094.0,Colombia,COL,COL,20201225
0.562078,0.010805,2116.0,Costa Rica,CRI,CRI,20201225
0.397281,0.02989,267.0,C̫te d'Ivoire,CIV,CIV,20201225
0.25997,0.011537,1438.0,Croatia,HRV,HRV,20201225
0.326626,0.00839,3130.0,Czech Republic,CZE,CZE,20201225
0.253928,0.041466,109.0,Democratic Republic of the Congo,COD,COD,20201225
0.29197,0.006428,5020.0,Denmark,DNK,DNK,20201225
0.461299,0.013356,1400.0,Dominican Republic,DOM,DOM,20201225
0.462466,0.008272,3644.0,Ecuador,ECU,ECU,20201225
0.336836,0.005728,6839.0,Egypt,EGY,EGY,20201225
0.520417,0.012233,1676.0,El Salvador,SLV,SLV,20201225
0.494581,0.028811,305.0,Ethiopia,ETH,ETH,20201225
0.351817,0.012574,1470.0,Finland,FIN,FIN,20201225
0.18544,0.003338,13580.0,France,FRA,FRA,20201225
0.285247,0.003377,17907.0,Germany,DEU,DEU,20201225
0.419813,0.019372,653.0,Ghana,GHA,GHA,20201225
0.296651,0.009082,2536.0,Greece,GRC,GRC,20201225
0.570036,0.012662,1551.0,Guatemala,GTM,GTM,20201225
0.309883,0.042219,115.0,Haiti,HTI,HTI,20201225
0.567593,0.015159,1078.0,Honduras,HND,HND,20201225
0.418228,0.01443,1179.0,Hong Kong,HKG,HKG,20201225
0.239081,0.00577,5506.0,Hungary,HUN,HUN,20201225
0.5209,0.00388,16585.0,India,IND,IND,20201225
0.281149,0.004812,8734.0,Indonesia,IDN,IDN,20201225
0.328822,0.010291,2142.0,Iraq,IRQ,IRQ,20201225
0.375049,0.010409,2178.0,Ireland,IRL,IRL,20201225
0.395635,0.008615,3331.0,Israel,ISR,ISR,20201225
0.28331,0.003544,16239.0,Italy,ITA,ITA,20201225
0.496134,0.002768,32639.0,Japan,JPN,JPN,20201225
0.237407,0.01101,1508.0,Jordan,JOR,JOR,20201225
0.225453,0.018051,539.0,Kazakhstan,KAZ,KAZ,20201225
0.566935,0.012285,1632.0,Kenya,KEN,KEN,20201225
0.388227,0.025545,377.0,Kuwait,KWT,KWT,20201225
0.284227,0.031378,222.0,Kyrgyzstan,KGZ,KGZ,20201225
0.518485,0.040905,151.0,Laos,LAO,LAO,20201225
0.25816,0.017315,639.0,Lebanon,LBN,LBN,20201225
0.411003,0.016555,890.0,Libya,LBY,LBY,20201225
0.42097,0.008918,3076.0,Malaysia,MYS,MYS,20201225
0.494853,0.040602,167.0,Mali,MLI,MLI,20201225
0.5788,0.002592,36261.0,Mexico,MEX,MEX,20201225
