smoothed_pct_hes_waitlater,smoothed_hes_waitlater_se,sample_size,country,iso_code,gid_0,survey_date
0.483983,0.017462,838.0,Bangladesh,BGD,BGD,20210209
0.484157,0.021143,569.0,Belarus,BLR,BLR,20210209
0.488722,0.014748,1153.0,Belgium,BEL,BEL,20210209
0.487581,0.014629,1183.0,Bolivia,BOL,BOL,20210209
0.377804,0.029023,294.0,Bosnia and Herzegovina,BIH,BIH,20210209
0.5379,0.004849,10605.0,Brazil,BRA,BRA,20210209
0.409592,0.015193,1059.0,Bulgaria,BGR,BGR,20210209
0.601202,0.038046,165.0,Cameroon,CMR,CMR,20210209
0.505419,0.008778,3246.0,Canada,CAN,CAN,20210209
0.536411,0.011914,1757.0,Chile,CHL,CHL,20210209
0.526614,0.00787,4033.0,Colombia,COL,COL,20210209
0.503924,0.024275,428.0,Costa Rica,CRI,CRI,20210209
0.576027,0.035578,199.0,C̫te d'Ivoire,CIV,CIV,20210209
0.429566,0.020285,594.0,Croatia,HRV,HRV,20210209
0.516737,0.011808,1796.0,Czech Republic,CZE,CZE,20210209
0.448411,0.049181,105.0,Democratic Republic of the Congo,COD,COD,20210209
0.445693,0.017942,769.0,Denmark,DNK,DNK,20210209
0.619237,0.019636,617.0,Dominican Republic,DOM,DOM,20210209
0.538118,0.012151,1712.0,Ecuador,ECU,ECU,20210209
0.575253,0.011028,2002.0,Egypt,EGY,EGY,20210209
0.5331,0.018499,736.0,El Salvador,SLV,SLV,20210209
0.434857,0.033849,206.0,Ethiopia,ETH,ETH,20210209
0.595146,0.027477,327.0,Finland,FIN,FIN,20210209
0.489998,0.005346,8754.0,France,FRA,FRA,20210209
0.496597,0.006146,6629.0,Germany,DEU,DEU,20210209
0.578614,0.020428,598.0,Ghana,GHA,GHA,20210209
0.507786,0.012622,1574.0,Greece,GRC,GRC,20210209
0.474325,0.019995,635.0,Guatemala,GTM,GTM,20210209
0.494515,0.020352,618.0,Honduras,HND,HND,20210209
0.657527,0.022991,438.0,Hong Kong,HKG,HKG,20210209
0.411274,0.010341,2268.0,Hungary,HUN,HUN,20210209
0.472525,0.006734,5494.0,India,IND,IND,20210209
0.4945,0.008718,3299.0,Indonesia,IDN,IDN,20210209
0.503524,0.015866,1020.0,Iraq,IRQ,IRQ,20210209
0.417567,0.020965,542.0,Ireland,IRL,IRL,20210209
0.561731,0.021887,494.0,Israel,ISR,ISR,20210209
0.386998,0.006766,5186.0,Italy,ITA,ITA,20210209
0.527272,0.003538,19945.0,Japan,JPN,JPN,20210209
0.533579,0.020463,592.0,Jordan,JOR,JOR,20210209
0.395015,0.023188,442.0,Kazakhstan,KAZ,KAZ,20210209
0.539973,0.019928,623.0,Kenya,KEN,KEN,20210209
0.537565,0.04021,161.0,Kuwait,KWT,KWT,20210209
0.408476,0.039669,158.0,Kyrgyzstan,KGZ,KGZ,20210209
0.559057,0.02416,423.0,Lebanon,LBN,LBN,20210209
0.524041,0.026286,368.0,Libya,LBY,LBY,20210209
0.582353,0.012668,1524.0,Malaysia,MYS,MYS,20210209
0.500847,0.004959,10175.0,Mexico,MEX,MEX,20210209
0.451693,0.030957,262.0,Moldova,MDA,MDA,20210209
0.540396,0.025325,392.0,Morocco,MAR,MAR,20210209
0.557872,0.0297,283.0,Mozambique,MOZ,MOZ,20210209
0.462195,0.023685,452.0,Nepal,NPL,NPL,20210209
