smoothed_trust_who,smoothed_trust_who_se,sample_size,country,iso_code,gid_0,survey_date
0.411231,0.035306,213.0,Kyrgyzstan,KGZ,KGZ,20201225
0.651289,0.039509,145.0,Laos,LAO,LAO,20201225
0.46419,0.020017,626.0,Lebanon,LBN,LBN,20201225
0.559189,0.017165,845.0,Libya,LBY,LBY,20201225
0.558774,0.009029,3030.0,Malaysia,MYS,MYS,20201225
0.617268,0.040427,152.0,Mali,MLI,MLI,20201225
0.695136,0.002423,36089.0,Mexico,MEX,MEX,20201225
0.383272,0.022183,475.0,Moldova,MDA,MDA,20201225
0.462475,0.015905,993.0,Morocco,MAR,MAR,20201225
0.618479,0.038432,164.0,Mozambique,MOZ,MOZ,20201225
0.723023,0.012601,1265.0,Myanmar,MMR,MMR,20201225
0.712442,0.013869,1081.0,Nepal,NPL,NPL,20201225
0.286185,0.005561,6679.0,Netherlands,NLD,NLD,20201225
0.459271,0.011116,2015.0,New Zealand,NZL,NZL,20201225
0.71792,0.015073,893.0,Nicaragua,NIC,NIC,20201225
