smoothed_pct_hes_dontbelieve,smoothed_hes_dontbelieve_se,sample_size,country,iso_code,gid_0,survey_date
0.083654,0.00412,4516.0,Argentina,ARG,ARG,20210209
0.091162,0.006691,2366.0,Australia,AUS,AUS,20210209
0.219614,0.012977,1026.0,Austria,AUT,AUT,20210209
0.229884,0.031276,184.0,Azerbaijan,AZE,AZE,20210209
0.089635,0.01009,838.0,Bangladesh,BGD,BGD,20210209
0.153077,0.01531,569.0,Belarus,BLR,BLR,20210209
0.176048,0.011209,1153.0,Belgium,BEL,BEL,20210209
0.054184,0.006601,1183.0,Bolivia,BOL,BOL,20210209
0.231859,0.025091,294.0,Bosnia and Herzegovina,BIH,BIH,20210209
0.074381,0.002548,10605.0,Brazil,BRA,BRA,20210209
0.202433,0.012347,1059.0,Bulgaria,BGR,BGR,20210209
0.287031,0.035244,165.0,Cameroon,CMR,CMR,20210209
0.156439,0.006376,3246.0,Canada,CAN,CAN,20210209
0.094514,0.00701,1757.0,Chile,CHL,CHL,20210209
0.086614,0.004436,4033.0,Colombia,COL,COL,20210209
0.074384,0.012761,428.0,Costa Rica,CRI,CRI,20210209
0.193776,0.028047,199.0,C̫te d'Ivoire,CIV,CIV,20210209
0.242165,0.017534,594.0,Croatia,HRV,HRV,20210209
0.233898,0.009999,1796.0,Czech Republic,CZE,CZE,20210209
0.205665,0.040837,105.0,Democratic Republic of the Congo,COD,COD,20210209
0.174539,0.013557,769.0,Denmark,DNK,DNK,20210209
0.126184,0.01338,617.0,Dominican Republic,DOM,DOM,20210209
0.074414,0.006393,1712.0,Ecuador,ECU,ECU,20210209
0.161405,0.008207,2002.0,Egypt,EGY,EGY,20210209
0.060422,0.008853,736.0,El Salvador,SLV,SLV,20210209
0.197585,0.027083,206.0,Ethiopia,ETH,ETH,20210209
0.143107,0.019759,327.0,Finland,FIN,FIN,20210209
0.137979,0.003688,8754.0,France,FRA,FRA,20210209
0.164511,0.004556,6629.0,Germany,DEU,DEU,20210209
0.155798,0.01505,598.0,Ghana,GHA,GHA,20210209
0.098799,0.007552,1574.0,Greece,GRC,GRC,20210209
0.132761,0.013443,635.0,Guatemala,GTM,GTM,20210209
0.082714,0.011124,618.0,Honduras,HND,HND,20210209
0.097023,0.014163,438.0,Hong Kong,HKG,HKG,20210209
0.240804,0.008994,2268.0,Hungary,HUN,HUN,20210209
0.134349,0.004607,5494.0,India,IND,IND,20210209
0.155641,0.006308,3299.0,Indonesia,IDN,IDN,20210209
0.234242,0.013276,1020.0,Iraq,IRQ,IRQ,20210209
0.122621,0.014138,542.0,Ireland,IRL,IRL,20210209
0.24173,0.019148,494.0,Israel,ISR,ISR,20210209
0.091665,0.004009,5186.0,Italy,ITA,ITA,20210209
0.034641,0.001297,19945.0,Japan,JPN,JPN,20210209
0.217035,0.017144,592.0,Jordan,JOR,JOR,20210209
0.223219,0.020067,442.0,Kazakhstan,KAZ,KAZ,20210209
0.110552,0.012594,623.0,Kenya,KEN,KEN,20210209
0.161479,0.02954,161.0,Kuwait,KWT,KWT,20210209
0.127151,0.026902,158.0,Kyrgyzstan,KGZ,KGZ,20210209
0.124631,0.016026,423.0,Lebanon,LBN,LBN,20210209
0.175855,0.020069,368.0,Libya,LBY,LBY,20210209
0.06366,0.006297,1524.0,Malaysia,MYS,MYS,20210209
0.04853,0.002131,10175.0,Mexico,MEX,MEX,20210209
0.198103,0.024689,262.0,Moldova,MDA,MDA,20210209
0.225742,0.021324,392.0,Morocco,MAR,MAR,20210209
0.071686,0.015428,283.0,Mozambique,MOZ,MOZ,20210209
0.100081,0.013773,452.0,Nepal,NPL,NPL,20210209
0.283164,0.010464,1858.0,Netherlands,NLD,NLD,20210209
0.124171,0.010635,959.0,New Zealand,NZL,NZL,20210209
0.087671,0.015179,348.0,Nicaragua,NIC,NIC,20210209
0.206228,0.012137,1115.0,Nigeria,NGA,NGA,20210209
0.10325,0.009134,1093.0,Norway,NOR,NOR,20210209
0.15459,0.012347,870.0,Pakistan,PAK,PAK,20210209
0.275505,0.03141,221.0,Palestine,PSE,PSE,20210209
0.052301,0.012971,302.0,Panama,PAN,PAN,20210209
0.106901,0.014011,490.0,Paraguay,PRY,PRY,20210209
0.076127,0.005191,2620.0,Peru,PER,PER,20210209
0.079728,0.004805,3178.0,Philippines,PHL,PHL,20210209
0.214139,0.008791,2176.0,Poland,POL,POL,20210209
0.032339,0.00363,2387.0,Portugal,PRT,PRT,20210209
0.06629,0.011116,513.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.130387,0.031674,116.0,Qatar,QAT,QAT,20210209
0.227261,0.010476,1605.0,Romania,ROU,ROU,20210209
0.192386,0.007028,3173.0,Russia,RUS,RUS,20210209
0.14147,0.013792,637.0,Saudi Arabia,SAU,SAU,20210209
0.189677,0.013754,812.0,Serbia,SRB,SRB,20210209
0.045895,0.013955,221.0,Singapore,SGP,SGP,20210209
0.168502,0.012925,842.0,Slovakia,SVK,SVK,20210209
0.247803,0.021444,406.0,Slovenia,SVN,SVN,20210209
0.11292,0.007632,1724.0,South Africa,ZAF,ZAF,20210209
0.042421,0.005844,1195.0,South Korea,KOR,KOR,20210209
0.061319,0.003887,3828.0,Spain,ESP,ESP,20210209
0.034166,0.01218,225.0,Sri Lanka,LKA,LKA,20210209
0.178561,0.022303,282.0,Sudan,SDN,SDN,20210209
0.124643,0.006514,2590.0,Sweden,SWE,SWE,20210209
0.204987,0.011418,1260.0,Switzerland,CHE,CHE,20210209
0.094418,0.004294,4625.0,Taiwan,TWN,TWN,20210209
0.150936,0.027903,179.0,Tanzania,TZA,TZA,20210209
0.083774,0.005021,3072.0,Thailand,THA,THA,20210209
0.174096,0.012966,867.0,Tunisia,TUN,TUN,20210209
0.162381,0.006855,2922.0,Turkey,TUR,TUR,20210209
0.180833,0.006373,3670.0,Ukraine,UKR,UKR,20210209
0.103073,0.017239,321.0,United Arab Emirates,ARE,ARE,20210209
0.135308,0.007302,2212.0,United Kingdom,GBR,GBR,20210209
0.093501,0.008913,1033.0,Uruguay,URY,URY,20210209
0.178534,0.026945,235.0,Uzbekistan,UZB,UZB,20210209
0.093124,0.007821,1400.0,Venezuela,VEN,VEN,20210209
0.068717,0.00334,5753.0,Vietnam,VNM,VNM,20210209
0.309124,0.039078,141.0,Yemen,YEM,YEM,20210209
0.15583,0.026406,210.0,Afghanistan,AFG,AFG,20210210
0.20218,0.026068,224.0,Albania,ALB,ALB,20210210
0.217826,0.012182,1160.0,Algeria,DZA,DZA,20210210
0.079774,0.021643,147.0,Angola,AGO,AGO,20210210
0.082385,0.003672,5606.0,Argentina,ARG,ARG,20210210
0.180178,0.037672,107.0,Armenia,ARM,ARM,20210210
0.09727,0.006038,2916.0,Australia,AUS,AUS,20210210
0.221729,0.011674,1277.0,Austria,AUT,AUT,20210210
0.245551,0.028207,237.0,Azerbaijan,AZE,AZE,20210210
0.081295,0.008717,1036.0,Bangladesh,BGD,BGD,20210210
0.152997,0.013982,702.0,Belarus,BLR,BLR,20210210
0.16905,0.009882,1435.0,Belgium,BEL,BEL,20210210
0.062293,0.006221,1503.0,Bolivia,BOL,BOL,20210210
0.223001,0.022517,353.0,Bosnia and Herzegovina,BIH,BIH,20210210
0.075255,0.002309,13048.0,Brazil,BRA,BRA,20210210
0.21572,0.011227,1337.0,Bulgaria,BGR,BGR,20210210
0.298681,0.031933,206.0,Cameroon,CMR,CMR,20210210
0.155669,0.0057,4056.0,Canada,CAN,CAN,20210210
0.082874,0.005975,2159.0,Chile,CHL,CHL,20210210
0.087697,0.004011,5003.0,Colombia,COL,COL,20210210
