percent_hf,hf_se,percent_hf_unw,hf_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.336886,0.015759,0.361976,0.015499,931.0,Austria,AUT,AUT,20200506
0.566477,0.043823,0.578125,0.043974,128.0,Azerbaijan,AZE,AZE,20200506
0.66909,0.018481,0.6546,0.018288,663.0,Bangladesh,BGD,BGD,20200506
0.625425,0.022533,0.62419,0.022518,463.0,Belarus,BLR,BLR,20200506
0.349332,0.016519,0.400681,0.016072,881.0,Belgium,BEL,BEL,20200506
0.792607,0.011546,0.820235,0.012191,1107.0,Bolivia,BOL,BOL,20200506
0.485332,0.034383,0.476415,0.034407,212.0,Bosnia and Herzegovina,BIH,BIH,20200506
0.712793,0.003639,0.724756,0.003687,15063.0,Brazil,BRA,BRA,20200506
0.485258,0.016054,0.500515,0.016047,971.0,Bulgaria,BGR,BGR,20200506
0.675126,0.043462,0.681034,0.043672,116.0,Burkina Faso,BFA,BFA,20200506
0.584394,0.047172,0.644231,0.04856,104.0,Cambodia,KHM,KHM,20200506
0.332563,0.00928,0.358052,0.009119,2670.0,Canada,CAN,CAN,20200506
0.737937,0.009684,0.73753,0.00968,2065.0,Chile,CHL,CHL,20200506
0.772423,0.006557,0.788903,0.006736,3875.0,Colombia,COL,COL,20200506
0.70129,0.01412,0.709865,0.01424,1034.0,Costa Rica,CRI,CRI,20200506
0.784998,0.032739,0.77439,0.032178,164.0,C̫te d'Ivoire,CIV,CIV,20200506
0.43322,0.020541,0.474662,0.020383,592.0,Croatia,HRV,HRV,20200506
0.25796,0.010848,0.300112,0.010355,1786.0,Czech Republic,CZE,CZE,20200506
0.124177,0.007362,0.123562,0.007378,1999.0,Denmark,DNK,DNK,20200506
0.746723,0.015255,0.791549,0.016333,710.0,Dominican Republic,DOM,DOM,20200506
0.839845,0.0082,0.859046,0.008642,1802.0,Ecuador,ECU,ECU,20200506
0.530869,0.009463,0.558824,0.009511,2754.0,Egypt,EGY,EGY,20200506
0.815756,0.012309,0.821465,0.012461,969.0,El Salvador,SLV,SLV,20200506
0.288738,0.013187,0.297589,0.013071,1203.0,Finland,FIN,FIN,20200506
0.400468,0.006797,0.431557,0.006724,5311.0,France,FRA,FRA,20200506
0.353482,0.007133,0.393778,0.006979,4693.0,Germany,DEU,DEU,20200506
0.53414,0.026813,0.522989,0.026779,348.0,Ghana,GHA,GHA,20200506
0.61932,0.013207,0.666144,0.013598,1276.0,Greece,GRC,GRC,20200506
0.760318,0.012208,0.793103,0.012865,1102.0,Guatemala,GTM,GTM,20200506
0.773519,0.012928,0.823936,0.014207,869.0,Honduras,HND,HND,20200506
0.352054,0.034542,0.411765,0.033522,204.0,Hong Kong,HKG,HKG,20200506
0.513615,0.008881,0.535341,0.0089,3155.0,Hungary,HUN,HUN,20200506
0.537357,0.007643,0.529536,0.007635,4266.0,India,IND,IND,20200506
0.672094,0.007208,0.699012,0.007378,4050.0,Indonesia,IDN,IDN,20200506
0.60288,0.020189,0.625,0.020405,576.0,Iraq,IRQ,IRQ,20200506
0.322896,0.013938,0.340536,0.013752,1157.0,Ireland,IRL,IRL,20200506
0.47614,0.015985,0.466667,0.016003,975.0,Israel,ISR,ISR,20200506
0.466452,0.006539,0.491789,0.006525,5846.0,Italy,ITA,ITA,20200506
0.445043,0.005177,0.454821,0.005167,9252.0,Japan,JPN,JPN,20200506
0.633849,0.017092,0.611794,0.016896,814.0,Jordan,JOR,JOR,20200506
0.657841,0.027759,0.64,0.027437,300.0,Kazakhstan,KAZ,KAZ,20200506
0.799576,0.015222,0.811178,0.015571,662.0,Kenya,KEN,KEN,20200506
0.597601,0.03547,0.610526,0.03567,190.0,Kuwait,KWT,KWT,20200506
0.68549,0.041664,0.671875,0.041202,128.0,Kyrgyzstan,KGZ,KGZ,20200506
0.714306,0.034015,0.745455,0.035275,165.0,Lebanon,LBN,LBN,20200506
0.508652,0.023465,0.505495,0.023463,455.0,Libya,LBY,LBY,20200506
0.539821,0.01308,0.554325,0.013116,1445.0,Malaysia,MYS,MYS,20200506
0.723408,0.004089,0.737711,0.004158,11575.0,Mexico,MEX,MEX,20200506
0.670516,0.027836,0.720307,0.02915,261.0,Moldova,MDA,MDA,20200506
0.457066,0.018997,0.483405,0.018937,693.0,Morocco,MAR,MAR,20200506
0.717927,0.034327,0.688525,0.033357,183.0,Mozambique,MOZ,MOZ,20200506
0.434255,0.025276,0.461538,0.025131,390.0,Myanmar,MMR,MMR,20200506
0.617455,0.021932,0.61336,0.021889,494.0,Nepal,NPL,NPL,20200506
0.177155,0.007812,0.197925,0.007486,2602.0,Netherlands,NLD,NLD,20200506
0.300651,0.013965,0.298605,0.013992,1075.0,New Zealand,NZL,NZL,20200506
0.803311,0.012342,0.827991,0.012999,936.0,Nicaragua,NIC,NIC,20200506
0.776207,0.013462,0.776042,0.013459,960.0,Nigeria,NGA,NGA,20200506
0.215429,0.011194,0.193419,0.011652,1246.0,Norway,NOR,NOR,20200506
0.435555,0.049009,0.485714,0.04862,105.0,Oman,OMN,OMN,20200506
0.525932,0.016597,0.512115,0.01658,908.0,Pakistan,PAK,PAK,20200506
0.656628,0.032637,0.695,0.03366,200.0,Palestine,PSE,PSE,20200506
0.650229,0.022843,0.723958,0.024368,384.0,Panama,PAN,PAN,20200506
0.687044,0.021999,0.762667,0.023977,375.0,Paraguay,PRY,PRY,20200506
0.776102,0.008526,0.795973,0.008819,2235.0,Peru,PER,PER,20200506
0.684522,0.009721,0.70744,0.00993,2191.0,Philippines,PHL,PHL,20200506
0.516489,0.009035,0.554675,0.009084,3027.0,Poland,POL,POL,20200506
0.511151,0.010184,0.539007,0.010212,2397.0,Portugal,PRT,PRT,20200506
