smoothed_pct_hes_religious,smoothed_hes_religious_se,sample_size,country,iso_code,gid_0,survey_date
0.024161,0.013673,130.0,Democratic Republic of the Congo,COD,COD,20210210
0.006549,0.002601,969.0,Denmark,DNK,DNK,20210210
0.027561,0.005701,794.0,Dominican Republic,DOM,DOM,20210210
0.022926,0.003191,2133.0,Ecuador,ECU,ECU,20210210
0.011187,0.002127,2515.0,Egypt,EGY,EGY,20210210
0.011841,0.003515,924.0,El Salvador,SLV,SLV,20210210
0.167176,0.024305,248.0,Ethiopia,ETH,ETH,20210210
0.009635,0.00477,411.0,Finland,FIN,FIN,20210210
0.004909,0.000671,10856.0,France,FRA,FRA,20210210
0.012816,0.001242,8251.0,Germany,DEU,DEU,20210210
0.019324,0.004895,759.0,Ghana,GHA,GHA,20210210
0.010398,0.00232,1941.0,Greece,GRC,GRC,20210210
0.035568,0.00666,800.0,Guatemala,GTM,GTM,20210210
0.019658,0.011804,107.0,Haiti,HTI,HTI,20210210
0.039593,0.007234,766.0,Honduras,HND,HND,20210210
0.003221,0.002585,549.0,Hong Kong,HKG,HKG,20210210
0.015719,0.002341,2857.0,Hungary,HUN,HUN,20210210
0.009622,0.001184,6842.0,India,IND,IND,20210210
0.04042,0.003067,4131.0,Indonesia,IDN,IDN,20210210
0.02282,0.004375,1250.0,Iraq,IRQ,IRQ,20210210
0.020665,0.005642,654.0,Ireland,IRL,IRL,20210210
0.02828,0.006791,601.0,Israel,ISR,ISR,20210210
0.00408,0.000786,6474.0,Italy,ITA,ITA,20210210
0.002137,0.000294,24837.0,Japan,JPN,JPN,20210210
0.010174,0.003578,750.0,Jordan,JOR,JOR,20210210
0.010709,0.00446,549.0,Kazakhstan,KAZ,KAZ,20210210
0.018653,0.004774,795.0,Kenya,KEN,KEN,20210210
0.003213,0.004369,194.0,Kuwait,KWT,KWT,20210210
0.021708,0.010373,195.0,Kyrgyzstan,KGZ,KGZ,20210210
0.013303,0.005117,524.0,Lebanon,LBN,LBN,20210210
0.023952,0.007469,455.0,Libya,LBY,LBY,20210210
0.028487,0.003853,1899.0,Malaysia,MYS,MYS,20210210
0.068056,0.024745,105.0,Mali,MLI,MLI,20210210
0.009339,0.000852,12831.0,Mexico,MEX,MEX,20210210
0.026324,0.008703,331.0,Moldova,MDA,MDA,20210210
0.009667,0.004763,478.0,Morocco,MAR,MAR,20210210
0.032138,0.009473,355.0,Mozambique,MOZ,MOZ,20210210
0.0165,0.012714,102.0,Myanmar,MMR,MMR,20210210
0.004421,0.002724,578.0,Nepal,NPL,NPL,20210210
0.027768,0.003371,2342.0,Netherlands,NLD,NLD,20210210
0.019183,0.003995,1188.0,New Zealand,NZL,NZL,20210210
0.018403,0.006513,434.0,Nicaragua,NIC,NIC,20210210
0.032115,0.00472,1389.0,Nigeria,NGA,NGA,20210210
0.009824,0.00256,1384.0,Norway,NOR,NOR,20210210
