smoothed_trust_govt,smoothed_trust_govt_se,sample_size,country,iso_code,gid_0,survey_date
0.616343,0.011061,1925.0,South Korea,KOR,KOR,20201223
0.441192,0.006561,5731.0,Spain,ESP,ESP,20201223
0.5918,0.027249,321.0,Sri Lanka,LKA,LKA,20201223
0.404252,0.0235,436.0,Sudan,SDN,SDN,20201223
0.456291,0.006221,6435.0,Sweden,SWE,SWE,20201223
0.30771,0.011751,1544.0,Switzerland,CHE,CHE,20201223
0.390167,0.007539,4193.0,Taiwan,TWN,TWN,20201223
0.575527,0.005384,8430.0,Thailand,THA,THA,20201223
0.351273,0.019292,610.0,Tunisia,TUN,TUN,20201223
0.383307,0.007273,4471.0,Turkey,TUR,TUR,20201223
0.22746,0.007216,3376.0,Ukraine,UKR,UKR,20201223
0.545868,0.01928,670.0,United Arab Emirates,ARE,ARE,20201223
0.388135,0.00632,5953.0,United Kingdom,GBR,GBR,20201223
0.475605,0.012174,1685.0,Uruguay,URY,URY,20201223
0.342557,0.03568,178.0,Uzbekistan,UZB,UZB,20201223
0.384381,0.01206,1651.0,Venezuela,VEN,VEN,20201223
0.664344,0.008434,3137.0,Vietnam,VNM,VNM,20201223
0.271421,0.031578,200.0,Yemen,YEM,YEM,20201223
0.51828,0.02918,303.0,Afghanistan,AFG,AFG,20201224
0.374947,0.03376,210.0,Albania,ALB,ALB,20201224
0.301215,0.014499,1005.0,Algeria,DZA,DZA,20201224
0.488941,0.041501,148.0,Angola,AGO,AGO,20201224
0.409108,0.005947,6902.0,Argentina,ARG,ARG,20201224
0.180809,0.038226,103.0,Armenia,ARM,ARM,20201224
0.462431,0.007092,4987.0,Australia,AUS,AUS,20201224
0.281444,0.010122,1981.0,Austria,AUT,AUT,20201224
0.239443,0.024608,304.0,Azerbaijan,AZE,AZE,20201224
0.629537,0.012319,1560.0,Bangladesh,BGD,BGD,20201224
0.138043,0.012583,753.0,Belarus,BLR,BLR,20201224
0.313732,0.010196,2144.0,Belgium,BEL,BEL,20201224
0.433278,0.011699,1799.0,Bolivia,BOL,BOL,20201224
0.202259,0.022158,358.0,Bosnia and Herzegovina,BIH,BIH,20201224
0.525053,0.002623,36265.0,Brazil,BRA,BRA,20201224
0.282948,0.013787,1073.0,Bulgaria,BGR,BGR,20201224
0.387787,0.049075,100.0,Burkina Faso,BFA,BFA,20201224
0.451142,0.037067,185.0,Cambodia,KHM,KHM,20201224
0.391666,0.039854,147.0,Cameroon,CMR,CMR,20201224
0.429568,0.005529,8034.0,Canada,CAN,CAN,20201224
0.425764,0.008184,3654.0,Chile,CHL,CHL,20201224
0.53,0.005631,7865.0,Colombia,COL,COL,20201224
0.644232,0.011693,1674.0,Costa Rica,CRI,CRI,20201224
0.433527,0.038061,171.0,C̫te d'Ivoire,CIV,CIV,20201224
0.155515,0.010884,1101.0,Croatia,HRV,HRV,20201224
0.217291,0.008655,2270.0,Czech Republic,CZE,CZE,20201224
0.530695,0.008163,3774.0,Denmark,DNK,DNK,20201224
0.394967,0.015248,1033.0,Dominican Republic,DOM,DOM,20201224
0.422891,0.009224,2878.0,Ecuador,ECU,ECU,20201224
0.383592,0.00691,4954.0,Egypt,EGY,EGY,20201224
0.528802,0.013891,1288.0,El Salvador,SLV,SLV,20201224
0.60265,0.031961,238.0,Ethiopia,ETH,ETH,20201224
0.5167,0.015342,1077.0,Finland,FIN,FIN,20201224
0.290849,0.00442,10583.0,France,FRA,FRA,20201224
0.342999,0.004085,13513.0,Germany,DEU,DEU,20201224
0.463702,0.02251,498.0,Ghana,GHA,GHA,20201224
0.319212,0.01069,1923.0,Greece,GRC,GRC,20201224
0.521755,0.014385,1219.0,Guatemala,GTM,GTM,20201224
0.383123,0.017602,769.0,Honduras,HND,HND,20201224
0.316315,0.015367,916.0,Hong Kong,HKG,HKG,20201224
0.157312,0.005725,4030.0,Hungary,HUN,HUN,20201224
0.619856,0.004315,12661.0,India,IND,IND,20201224
0.374209,0.00601,6495.0,Indonesia,IDN,IDN,20201224
0.336617,0.012019,1563.0,Iraq,IRQ,IRQ,20201224
0.427076,0.011818,1764.0,Ireland,IRL,IRL,20201224
0.404968,0.009931,2532.0,Israel,ISR,ISR,20201224
0.404373,0.004385,12576.0,Italy,ITA,ITA,20201224
0.468117,0.003159,24957.0,Japan,JPN,JPN,20201224
0.302471,0.014009,1083.0,Jordan,JOR,JOR,20201224
0.189082,0.019009,425.0,Kazakhstan,KAZ,KAZ,20201224
0.544949,0.014436,1190.0,Kenya,KEN,KEN,20201224
0.421544,0.029681,285.0,Kuwait,KWT,KWT,20201224
0.352964,0.038482,169.0,Kyrgyzstan,KGZ,KGZ,20201224
0.545872,0.047737,112.0,Laos,LAO,LAO,20201224
0.303856,0.02141,466.0,Lebanon,LBN,LBN,20201224
0.434555,0.020278,603.0,Libya,LBY,LBY,20201224
0.559236,0.010211,2365.0,Malaysia,MYS,MYS,20201224
0.629048,0.048276,107.0,Mali,MLI,MLI,20201224
0.558644,0.002939,28533.0,Mexico,MEX,MEX,20201224
0.199382,0.020788,364.0,Moldova,MDA,MDA,20201224
0.411214,0.017585,781.0,Morocco,MAR,MAR,20201224
0.542438,0.045745,122.0,Mozambique,MOZ,MOZ,20201224
0.737962,0.01398,991.0,Myanmar,MMR,MMR,20201224
0.530865,0.017201,849.0,Nepal,NPL,NPL,20201224
0.274419,0.006233,5190.0,Netherlands,NLD,NLD,20201224
0.484219,0.012608,1571.0,New Zealand,NZL,NZL,20201224
0.399437,0.018842,680.0,Nicaragua,NIC,NIC,20201224
0.507192,0.012287,1665.0,Nigeria,NGA,NGA,20201224
0.551844,0.00904,3030.0,Norway,NOR,NOR,20201224
0.561702,0.042,144.0,Oman,OMN,OMN,20201224
0.570705,0.010233,2342.0,Pakistan,PAK,PAK,20201224
