smoothed_sideeffects,smoothed_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.754983,0.021002,416.0,Azerbaijan,AZE,AZE,20210118
0.612894,0.010834,2029.0,Bangladesh,BGD,BGD,20210118
0.804077,0.010959,1321.0,Belarus,BLR,BLR,20210118
0.401449,0.007487,4356.0,Belgium,BEL,BEL,20210118
0.594773,0.04323,130.0,Benin,BEN,BEN,20210118
0.733584,0.007133,3903.0,Bolivia,BOL,BOL,20210118
0.511874,0.019099,720.0,Bosnia and Herzegovina,BIH,BIH,20210118
0.454648,0.00184,73190.0,Brazil,BRA,BRA,20210118
0.535795,0.009779,2638.0,Bulgaria,BGR,BGR,20210118
0.631332,0.035595,177.0,Burkina Faso,BFA,BFA,20210118
0.62607,0.031757,229.0,Cambodia,KHM,KHM,20210118
