pct_trust_doctors,trust_doctors_se,pct_trust_doctors_unw,trust_doctors_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.758838,0.007325,0.76213,0.007359,3380.0,Italy,ITA,ITA,20210208
0.6379,0.006109,0.645256,0.006137,6134.0,Japan,JPN,JPN,20210208
0.493438,0.037035,0.519126,0.037059,183.0,Jordan,JOR,JOR,20210208
0.203785,0.040191,0.222222,0.038941,108.0,Kazakhstan,KAZ,KAZ,20210208
0.63503,0.031352,0.686364,0.032531,220.0,Kenya,KEN,KEN,20210208
0.589451,0.039397,0.625,0.040033,152.0,Lebanon,LBN,LBN,20210208
0.554056,0.039699,0.550633,0.03967,158.0,Libya,LBY,LBY,20210208
0.628632,0.019752,0.624585,0.019709,602.0,Malaysia,MYS,MYS,20210208
0.797563,0.004578,0.817289,0.00476,7126.0,Mexico,MEX,MEX,20210208
0.549223,0.035868,0.541237,0.035816,194.0,Morocco,MAR,MAR,20210208
0.630734,0.037027,0.635294,0.037124,170.0,Nepal,NPL,NPL,20210208
0.453934,0.014081,0.462948,0.01406,1255.0,Netherlands,NLD,NLD,20210208
0.634723,0.022592,0.635165,0.022598,455.0,New Zealand,NZL,NZL,20210208
0.72604,0.037668,0.72028,0.037427,143.0,Nicaragua,NIC,NIC,20210208
0.593614,0.024608,0.680556,0.025922,360.0,Nigeria,NGA,NGA,20210208
0.548215,0.016478,0.53159,0.016435,918.0,Norway,NOR,NOR,20210208
0.734903,0.024984,0.668539,0.023426,356.0,Pakistan,PAK,PAK,20210208
0.730559,0.038318,0.746154,0.039063,130.0,Panama,PAN,PAN,20210208
0.641018,0.035506,0.651934,0.035755,181.0,Paraguay,PRY,PRY,20210208
0.696963,0.013355,0.71441,0.013588,1145.0,Peru,PER,PER,20210208
0.5877,0.014539,0.632153,0.014842,1101.0,Philippines,PHL,PHL,20210208
0.471307,0.01649,0.48913,0.016466,920.0,Poland,POL,POL,20210208
0.728964,0.012248,0.740827,0.012424,1281.0,Portugal,PRT,PRT,20210208
0.738176,0.025857,0.705128,0.024929,312.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.522764,0.019183,0.529499,0.019197,678.0,Romania,ROU,ROU,20210208
0.3639,0.016595,0.360382,0.01663,838.0,Russia,RUS,RUS,20210208
0.626002,0.030503,0.566038,0.02978,265.0,Saudi Arabia,SAU,SAU,20210208
0.45825,0.03245,0.478992,0.032365,238.0,Serbia,SRB,SRB,20210208
0.667748,0.045821,0.68932,0.046638,103.0,Singapore,SGP,SGP,20210208
0.483961,0.025854,0.504,0.025841,375.0,Slovakia,SVK,SVK,20210208
0.46002,0.036961,0.5,0.036843,184.0,Slovenia,SVN,SVN,20210208
0.598015,0.018498,0.617945,0.018665,691.0,South Africa,ZAF,ZAF,20210208
0.586595,0.023049,0.616592,0.023344,446.0,South Korea,KOR,KOR,20210208
0.791336,0.008552,0.790893,0.008546,2262.0,Spain,ESP,ESP,20210208
0.697205,0.042899,0.620155,0.040612,129.0,Sudan,SDN,SDN,20210208
0.630032,0.010441,0.632146,0.010454,2134.0,Sweden,SWE,SWE,20210208
0.478245,0.021906,0.469231,0.021927,520.0,Switzerland,CHE,CHE,20210208
0.703736,0.01212,0.727071,0.012423,1352.0,Taiwan,TWN,TWN,20210208
0.614813,0.015074,0.595664,0.014947,1061.0,Thailand,THA,THA,20210208
0.437082,0.03146,0.460317,0.031309,252.0,Tunisia,TUN,TUN,20210208
0.522558,0.015876,0.541582,0.015915,986.0,Turkey,TUR,TUR,20210208
0.337269,0.01481,0.337255,0.01481,1020.0,Ukraine,UKR,UKR,20210208
0.513016,0.038689,0.602484,0.039515,161.0,United Arab Emirates,ARE,ARE,20210208
0.618197,0.010994,0.622622,0.011019,1945.0,United Kingdom,GBR,GBR,20210208
0.627787,0.024158,0.649616,0.024478,391.0,Uruguay,URY,URY,20210208
0.656908,0.020229,0.721545,0.021425,492.0,Venezuela,VEN,VEN,20210208
0.622499,0.009305,0.626711,0.009326,2703.0,Vietnam,VNM,VNM,20210208
0.396349,0.031439,0.423387,0.031123,248.0,Algeria,DZA,DZA,20210209
0.708432,0.010124,0.724103,0.010295,1950.0,Argentina,ARG,ARG,20210209
0.653679,0.013944,0.648764,0.013898,1173.0,Australia,AUS,AUS,20210209
0.535472,0.020786,0.533795,0.020781,577.0,Austria,AUT,AUT,20210209
0.63868,0.029233,0.599291,0.028657,282.0,Bangladesh,BGD,BGD,20210209
0.314547,0.039559,0.287879,0.040569,132.0,Belarus,BLR,BLR,20210209
0.504437,0.021528,0.533457,0.021576,538.0,Belgium,BEL,BEL,20210209
0.623802,0.021777,0.661734,0.022298,473.0,Bolivia,BOL,BOL,20210209
0.787443,0.004617,0.799018,0.004714,7533.0,Brazil,BRA,BRA,20210209
