smoothed_trust_politicians,smoothed_trust_politicians_se,sample_size,country,iso_code,gid_0,survey_date
0.05764,0.02063,132.0,Armenia,ARM,ARM,20201225
0.155099,0.004621,6196.0,Australia,AUS,AUS,20201225
0.0866,0.005512,2596.0,Austria,AUT,AUT,20201225
0.102804,0.015956,378.0,Azerbaijan,AZE,AZE,20201225
0.248499,0.009848,1952.0,Bangladesh,BGD,BGD,20201225
0.049155,0.006794,983.0,Belarus,BLR,BLR,20201225
0.095795,0.005724,2719.0,Belgium,BEL,BEL,20201225
0.14112,0.007399,2220.0,Bolivia,BOL,BOL,20201225
0.069128,0.012328,455.0,Bosnia and Herzegovina,BIH,BIH,20201225
0.142098,0.001624,46238.0,Brazil,BRA,BRA,20201225
0.099754,0.008225,1320.0,Bulgaria,BGR,BGR,20201225
0.159597,0.031682,132.0,Burkina Faso,BFA,BFA,20201225
0.235073,0.028733,222.0,Cambodia,KHM,KHM,20201225
0.173914,0.02896,173.0,Cameroon,CMR,CMR,20201225
0.150302,0.00357,10053.0,Canada,CAN,CAN,20201225
0.125502,0.004869,4624.0,Chile,CHL,CHL,20201225
0.14916,0.003612,9716.0,Colombia,COL,COL,20201225
0.20225,0.008842,2068.0,Costa Rica,CRI,CRI,20201225
0.230673,0.027927,227.0,C̫te d'Ivoire,CIV,CIV,20201225
0.057366,0.006286,1381.0,Croatia,HRV,HRV,20201225
0.071414,0.004752,2937.0,Czech Republic,CZE,CZE,20201225
0.115614,0.032339,103.0,Democratic Republic of the Congo,COD,COD,20201225
0.174785,0.005462,4866.0,Denmark,DNK,DNK,20201225
0.131374,0.009423,1293.0,Dominican Republic,DOM,DOM,20201225
0.113914,0.005359,3526.0,Ecuador,ECU,ECU,20201225
0.218976,0.005127,6553.0,Egypt,EGY,EGY,20201225
0.11537,0.008002,1609.0,El Salvador,SLV,SLV,20201225
0.202012,0.023984,284.0,Ethiopia,ETH,ETH,20201225
0.189903,0.010401,1440.0,Finland,FIN,FIN,20201225
0.085652,0.002428,13347.0,France,FRA,FRA,20201225
0.108644,0.002346,17620.0,Germany,DEU,DEU,20201225
0.170558,0.015142,621.0,Ghana,GHA,GHA,20201225
0.131012,0.006804,2474.0,Greece,GRC,GRC,20201225
0.103057,0.00792,1514.0,Guatemala,GTM,GTM,20201225
0.109357,0.009803,1021.0,Honduras,HND,HND,20201225
0.171215,0.011212,1140.0,Hong Kong,HKG,HKG,20201225
0.078844,0.003694,5301.0,Hungary,HUN,HUN,20201225
0.225934,0.003313,15940.0,India,IND,IND,20201225
0.161893,0.004032,8366.0,Indonesia,IDN,IDN,20201225
0.187398,0.008791,2008.0,Iraq,IRQ,IRQ,20201225
0.151124,0.007787,2133.0,Ireland,IRL,IRL,20201225
0.13092,0.006086,3192.0,Israel,ISR,ISR,20201225
0.109289,0.002472,16039.0,Italy,ITA,ITA,20201225
0.155313,0.002015,32288.0,Japan,JPN,JPN,20201225
0.18758,0.010345,1434.0,Jordan,JOR,JOR,20201225
0.086083,0.012478,513.0,Kazakhstan,KAZ,KAZ,20201225
0.189118,0.010073,1515.0,Kenya,KEN,KEN,20201225
0.218259,0.02195,356.0,Kuwait,KWT,KWT,20201225
