smoothed_hesitant_sideeffects,smoothed_hesitant_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.233644,0.014542,848.0,Libya,LBY,LBY,20210117
0.222326,0.006238,4469.0,Malaysia,MYS,MYS,20210117
0.212164,0.031485,174.0,Mali,MLI,MLI,20210117
0.106258,0.00157,38544.0,Mexico,MEX,MEX,20210117
0.358816,0.021998,476.0,Moldova,MDA,MDA,20210117
0.27523,0.015176,865.0,Morocco,MAR,MAR,20210117
0.229397,0.020806,413.0,Mozambique,MOZ,MOZ,20210117
0.082998,0.007957,1220.0,Myanmar,MMR,MMR,20210117
0.126194,0.010733,959.0,Nepal,NPL,NPL,20210117
0.134722,0.003695,8550.0,Netherlands,NLD,NLD,20210117
0.19453,0.007894,2525.0,New Zealand,NZL,NZL,20210117
0.173087,0.012274,954.0,Nicaragua,NIC,NIC,20210117
0.271852,0.008994,2457.0,Nigeria,NGA,NGA,20210117
0.11094,0.004259,5404.0,Norway,NOR,NOR,20210117
0.131263,0.027164,160.0,Oman,OMN,OMN,20210117
0.177037,0.008451,2044.0,Pakistan,PAK,PAK,20210117
0.3121,0.021003,504.0,Palestine,PSE,PSE,20210117
0.19319,0.012339,1028.0,Panama,PAN,PAN,20210117
0.289264,0.014606,958.0,Paraguay,PRY,PRY,20210117
0.216122,0.005919,4855.0,Peru,PER,PER,20210117
0.319755,0.005837,6389.0,Philippines,PHL,PHL,20210117
0.224528,0.005298,6202.0,Poland,POL,POL,20210117
0.137296,0.003913,7731.0,Portugal,PRT,PRT,20210117
0.126745,0.007181,2167.0,"Puerto Rico, U.S.",PRI,PRI,20210117
0.165966,0.024565,230.0,Qatar,QAT,QAT,20210117
0.190389,0.005433,5223.0,Romania,ROU,ROU,20210117
0.46601,0.006726,5509.0,Russia,RUS,RUS,20210117
0.231364,0.012733,1099.0,Saudi Arabia,SAU,SAU,20210117
0.412181,0.037719,176.0,Senegal,SEN,SEN,20210117
0.298347,0.010234,1993.0,Serbia,SRB,SRB,20210117
0.186963,0.014655,722.0,Singapore,SGP,SGP,20210117
0.176334,0.007624,2493.0,Slovakia,SVK,SVK,20210117
0.265789,0.013875,1021.0,Slovenia,SVN,SVN,20210117
