smoothed_twodoses,smoothed_twodoses_se,sample_size,country,iso_code,gid_0,survey_date
0.580027,0.006832,5184.0,Israel,ISR,ISR,20210128
0.246326,0.008491,2447.0,Italy,ITA,ITA,20210128
0.291197,0.037332,158.0,Japan,JPN,JPN,20210128
0.066722,0.006179,1636.0,Mexico,MEX,MEX,20210128
0.048963,0.012045,329.0,Netherlands,NLD,NLD,20210128
0.203445,0.015044,699.0,Poland,POL,POL,20210128
0.231076,0.018418,534.0,Portugal,PRT,PRT,20210128
0.104011,0.008526,1260.0,Romania,ROU,ROU,20210128
0.303813,0.016467,767.0,Russia,RUS,RUS,20210128
0.641296,0.030468,264.0,Saudi Arabia,SAU,SAU,20210128
0.073707,0.017008,202.0,Slovakia,SVK,SVK,20210128
0.112075,0.009907,1009.0,Spain,ESP,ESP,20210128
0.040211,0.007247,743.0,Sweden,SWE,SWE,20210128
0.085538,0.01803,243.0,Switzerland,CHE,CHE,20210128
0.030692,0.007745,505.0,Turkey,TUR,TUR,20210128
0.280263,0.024915,341.0,United Arab Emirates,ARE,ARE,20210128
0.065661,0.004934,2466.0,United Kingdom,GBR,GBR,20210128
0.283298,0.020891,464.0,Argentina,ARG,ARG,20210129
0.071886,0.016472,265.0,Austria,AUT,AUT,20210129
0.057221,0.017686,176.0,Belgium,BEL,BEL,20210129
0.027036,0.003529,2139.0,Brazil,BRA,BRA,20210129
0.149183,0.015182,574.0,Canada,CAN,CAN,20210129
0.159385,0.03388,122.0,Chile,CHL,CHL,20210129
0.269326,0.041649,114.0,Croatia,HRV,HRV,20210129
0.201651,0.022379,316.0,Czech Republic,CZE,CZE,20210129
0.249074,0.023755,313.0,Denmark,DNK,DNK,20210129
0.183366,0.040127,100.0,Finland,FIN,FIN,20210129
0.040461,0.005405,1318.0,France,FRA,FRA,20210129
0.249493,0.011279,1463.0,Germany,DEU,DEU,20210129
0.117836,0.021483,246.0,Greece,GRC,GRC,20210129
0.267774,0.017622,587.0,Hungary,HUN,HUN,20210129
0.071633,0.007976,1061.0,India,IND,IND,20210129
0.117415,0.017456,356.0,Indonesia,IDN,IDN,20210129
0.090261,0.017153,251.0,Ireland,IRL,IRL,20210129
0.600672,0.006754,5190.0,Israel,ISR,ISR,20210129
0.300207,0.009098,2433.0,Italy,ITA,ITA,20210129
0.284948,0.035687,169.0,Japan,JPN,JPN,20210129
0.074168,0.006533,1609.0,Mexico,MEX,MEX,20210129
0.058133,0.012664,342.0,Netherlands,NLD,NLD,20210129
0.242971,0.015898,709.0,Poland,POL,POL,20210129
0.246831,0.018449,548.0,Portugal,PRT,PRT,20210129
0.121677,0.009057,1275.0,Romania,ROU,ROU,20210129
0.270106,0.016063,772.0,Russia,RUS,RUS,20210129
0.632915,0.0311,255.0,Saudi Arabia,SAU,SAU,20210129
0.075568,0.016893,214.0,Slovakia,SVK,SVK,20210129
0.145422,0.011114,1008.0,Spain,ESP,ESP,20210129
0.044264,0.007509,754.0,Sweden,SWE,SWE,20210129
