smoothed_pct_hes_cost,smoothed_hes_cost_se,sample_size,country,iso_code,gid_0,survey_date
0.022761,0.001593,8754.0,France,FRA,FRA,20210209
0.02481,0.001916,6629.0,Germany,DEU,DEU,20210209
0.131729,0.014033,598.0,Ghana,GHA,GHA,20210209
0.028902,0.004215,1574.0,Greece,GRC,GRC,20210209
0.227679,0.016693,635.0,Guatemala,GTM,GTM,20210209
0.281048,0.01827,618.0,Honduras,HND,HND,20210209
0.06546,0.012008,438.0,Hong Kong,HKG,HKG,20210209
0.031035,0.003653,2268.0,Hungary,HUN,HUN,20210209
0.072486,0.003488,5494.0,India,IND,IND,20210209
0.227208,0.007298,3299.0,Indonesia,IDN,IDN,20210209
0.147324,0.011208,1020.0,Iraq,IRQ,IRQ,20210209
0.045089,0.008809,542.0,Ireland,IRL,IRL,20210209
0.022065,0.006563,494.0,Israel,ISR,ISR,20210209
0.021074,0.001995,5186.0,Italy,ITA,ITA,20210209
0.108704,0.002205,19945.0,Japan,JPN,JPN,20210209
0.054635,0.009654,592.0,Jordan,JOR,JOR,20210209
0.057863,0.010986,442.0,Kazakhstan,KAZ,KAZ,20210209
0.176277,0.015339,623.0,Kenya,KEN,KEN,20210209
0.063397,0.019596,161.0,Kuwait,KWT,KWT,20210209
0.079756,0.021906,158.0,Kyrgyzstan,KGZ,KGZ,20210209
0.102773,0.01483,423.0,Lebanon,LBN,LBN,20210209
0.098097,0.015858,368.0,Libya,LBY,LBY,20210209
0.216052,0.010562,1524.0,Malaysia,MYS,MYS,20210209
0.155199,0.003587,10175.0,Mexico,MEX,MEX,20210209
0.082484,0.016966,262.0,Moldova,MDA,MDA,20210209
0.021127,0.007503,392.0,Morocco,MAR,MAR,20210209
0.132822,0.020266,283.0,Mozambique,MOZ,MOZ,20210209
0.105084,0.014636,452.0,Nepal,NPL,NPL,20210209
0.02608,0.003689,1858.0,Netherlands,NLD,NLD,20210209
0.056775,0.007493,959.0,New Zealand,NZL,NZL,20210209
0.298431,0.024591,348.0,Nicaragua,NIC,NIC,20210209
0.116672,0.009631,1115.0,Nigeria,NGA,NGA,20210209
0.018117,0.004048,1093.0,Norway,NOR,NOR,20210209
0.122477,0.011056,870.0,Pakistan,PAK,PAK,20210209
0.135953,0.024584,221.0,Palestine,PSE,PSE,20210209
0.052692,0.012958,302.0,Panama,PAN,PAN,20210209
0.124372,0.01458,490.0,Paraguay,PRY,PRY,20210209
0.143912,0.006853,2620.0,Peru,PER,PER,20210209
0.241558,0.007591,3178.0,Philippines,PHL,PHL,20210209
0.048658,0.004614,2176.0,Poland,POL,POL,20210209
0.02963,0.003474,2387.0,Portugal,PRT,PRT,20210209
0.054821,0.010487,513.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.059391,0.02199,116.0,Qatar,QAT,QAT,20210209
