smoothed_pct_hes_wontwork,smoothed_hes_wontwork_se,sample_size,country,iso_code,gid_0,survey_date
0.299328,0.034275,184.0,Azerbaijan,AZE,AZE,20210209
0.269206,0.015576,838.0,Bangladesh,BGD,BGD,20210209
0.21588,0.017541,569.0,Belarus,BLR,BLR,20210209
0.329885,0.013863,1153.0,Belgium,BEL,BEL,20210209
0.284652,0.013201,1183.0,Bolivia,BOL,BOL,20210209
0.234965,0.025458,294.0,Bosnia and Herzegovina,BIH,BIH,20210209
0.253326,0.004231,10605.0,Brazil,BRA,BRA,20210209
0.248059,0.013288,1059.0,Bulgaria,BGR,BGR,20210209
0.32265,0.036372,165.0,Cameroon,CMR,CMR,20210209
0.266045,0.007762,3246.0,Canada,CAN,CAN,20210209
0.303348,0.010994,1757.0,Chile,CHL,CHL,20210209
0.348682,0.007514,4033.0,Colombia,COL,COL,20210209
0.283849,0.021899,428.0,Costa Rica,CRI,CRI,20210209
0.317786,0.033625,199.0,C̫te d'Ivoire,CIV,CIV,20210209
0.296393,0.018485,594.0,Croatia,HRV,HRV,20210209
0.346722,0.011237,1796.0,Czech Republic,CZE,CZE,20210209
0.369572,0.048474,105.0,Democratic Republic of the Congo,COD,COD,20210209
0.231374,0.015246,769.0,Denmark,DNK,DNK,20210209
0.354344,0.019171,617.0,Dominican Republic,DOM,DOM,20210209
0.351414,0.011593,1712.0,Ecuador,ECU,ECU,20210209
0.368086,0.010769,2002.0,Egypt,EGY,EGY,20210209
0.313961,0.017184,736.0,El Salvador,SLV,SLV,20210209
0.239315,0.029244,206.0,Ethiopia,ETH,ETH,20210209
0.297836,0.025325,327.0,Finland,FIN,FIN,20210209
0.376553,0.005181,8754.0,France,FRA,FRA,20210209
0.270581,0.005459,6629.0,Germany,DEU,DEU,20210209
0.328557,0.019435,598.0,Ghana,GHA,GHA,20210209
0.309546,0.011684,1574.0,Greece,GRC,GRC,20210209
0.299332,0.018305,635.0,Guatemala,GTM,GTM,20210209
0.35076,0.019402,618.0,Honduras,HND,HND,20210209
0.40919,0.023766,438.0,Hong Kong,HKG,HKG,20210209
0.297367,0.009604,2268.0,Hungary,HUN,HUN,20210209
0.181233,0.005205,5494.0,India,IND,IND,20210209
0.304146,0.008025,3299.0,Indonesia,IDN,IDN,20210209
0.286178,0.014334,1020.0,Iraq,IRQ,IRQ,20210209
0.190131,0.016887,542.0,Ireland,IRL,IRL,20210209
0.309327,0.020421,494.0,Israel,ISR,ISR,20210209
0.233908,0.005878,5186.0,Italy,ITA,ITA,20210209
0.294758,0.003229,19945.0,Japan,JPN,JPN,20210209
0.31151,0.019432,592.0,Jordan,JOR,JOR,20210209
0.174658,0.018107,442.0,Kazakhstan,KAZ,KAZ,20210209
0.211859,0.016292,623.0,Kenya,KEN,KEN,20210209
0.31133,0.037392,161.0,Kuwait,KWT,KWT,20210209
0.194057,0.030389,158.0,Kyrgyzstan,KGZ,KGZ,20210209
0.277824,0.021839,423.0,Lebanon,LBN,LBN,20210209
0.288559,0.023853,368.0,Libya,LBY,LBY,20210209
0.347601,0.012223,1524.0,Malaysia,MYS,MYS,20210209
0.273615,0.004421,10175.0,Mexico,MEX,MEX,20210209
0.180819,0.023999,262.0,Moldova,MDA,MDA,20210209
0.289246,0.023059,392.0,Morocco,MAR,MAR,20210209
0.238353,0.025431,283.0,Mozambique,MOZ,MOZ,20210209
0.252336,0.020729,452.0,Nepal,NPL,NPL,20210209
0.243825,0.009979,1858.0,Netherlands,NLD,NLD,20210209
0.264054,0.014211,959.0,New Zealand,NZL,NZL,20210209
0.312672,0.024941,348.0,Nicaragua,NIC,NIC,20210209
0.163426,0.011034,1115.0,Nigeria,NGA,NGA,20210209
0.185126,0.011799,1093.0,Norway,NOR,NOR,20210209
0.191921,0.013356,870.0,Pakistan,PAK,PAK,20210209
0.411955,0.033684,221.0,Palestine,PSE,PSE,20210209
0.258228,0.025134,302.0,Panama,PAN,PAN,20210209
0.29559,0.020697,490.0,Paraguay,PRY,PRY,20210209
0.348656,0.009322,2620.0,Peru,PER,PER,20210209
0.329046,0.008336,3178.0,Philippines,PHL,PHL,20210209
0.318422,0.009982,2176.0,Poland,POL,POL,20210209
0.214253,0.008424,2387.0,Portugal,PRT,PRT,20210209
0.325617,0.020975,513.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.310785,0.042664,116.0,Qatar,QAT,QAT,20210209
0.220734,0.01038,1605.0,Romania,ROU,ROU,20210209
0.17581,0.006762,3173.0,Russia,RUS,RUS,20210209
0.251613,0.017258,637.0,Saudi Arabia,SAU,SAU,20210209
0.21513,0.014462,812.0,Serbia,SRB,SRB,20210209
0.300756,0.030942,221.0,Singapore,SGP,SGP,20210209
0.28255,0.015513,842.0,Slovakia,SVK,SVK,20210209
0.280317,0.022284,406.0,Slovenia,SVN,SVN,20210209
0.284115,0.010871,1724.0,South Africa,ZAF,ZAF,20210209
0.295876,0.013225,1195.0,South Korea,KOR,KOR,20210209
0.267683,0.007155,3828.0,Spain,ESP,ESP,20210209
0.234896,0.028354,225.0,Sri Lanka,LKA,LKA,20210209
0.225402,0.024948,282.0,Sudan,SDN,SDN,20210209
0.229142,0.008294,2590.0,Sweden,SWE,SWE,20210209
0.284653,0.012763,1260.0,Switzerland,CHE,CHE,20210209
0.434177,0.007294,4625.0,Taiwan,TWN,TWN,20210209
0.301805,0.035378,179.0,Tanzania,TZA,TZA,20210209
0.393894,0.008835,3072.0,Thailand,THA,THA,20210209
0.419327,0.016795,867.0,Tunisia,TUN,TUN,20210209
0.419829,0.009161,2922.0,Turkey,TUR,TUR,20210209
0.199817,0.006616,3670.0,Ukraine,UKR,UKR,20210209
0.220502,0.023069,321.0,United Arab Emirates,ARE,ARE,20210209
0.221695,0.008848,2212.0,United Kingdom,GBR,GBR,20210209
0.29388,0.014227,1033.0,Uruguay,URY,URY,20210209
0.245393,0.029889,235.0,Uzbekistan,UZB,UZB,20210209
0.305316,0.01233,1400.0,Venezuela,VEN,VEN,20210209
0.347848,0.006274,5753.0,Vietnam,VNM,VNM,20210209
0.333749,0.039921,141.0,Yemen,YEM,YEM,20210209
0.284325,0.033663,210.0,Afghanistan,AFG,AFG,20210210
0.251042,0.02872,224.0,Albania,ALB,ALB,20210210
0.340022,0.013977,1160.0,Algeria,DZA,DZA,20210210
0.286894,0.038872,147.0,Angola,AGO,AGO,20210210
0.239853,0.005704,5606.0,Argentina,ARG,ARG,20210210
0.133007,0.032732,107.0,Armenia,ARM,ARM,20210210
0.257694,0.00892,2916.0,Australia,AUS,AUS,20210210
0.240401,0.012008,1277.0,Austria,AUT,AUT,20210210
0.275675,0.029262,237.0,Azerbaijan,AZE,AZE,20210210
0.278329,0.014117,1036.0,Bangladesh,BGD,BGD,20210210
0.230151,0.016463,702.0,Belarus,BLR,BLR,20210210
0.329918,0.012429,1435.0,Belgium,BEL,BEL,20210210
0.293137,0.011794,1503.0,Bolivia,BOL,BOL,20210210
0.241158,0.023347,353.0,Bosnia and Herzegovina,BIH,BIH,20210210
0.251825,0.003807,13048.0,Brazil,BRA,BRA,20210210
0.252974,0.011901,1337.0,Bulgaria,BGR,BGR,20210210
0.327338,0.032756,206.0,Cameroon,CMR,CMR,20210210
0.27273,0.006998,4056.0,Canada,CAN,CAN,20210210
0.299513,0.009891,2159.0,Chile,CHL,CHL,20210210
0.352611,0.006771,5003.0,Colombia,COL,COL,20210210
0.291577,0.019672,541.0,Costa Rica,CRI,CRI,20210210
0.334883,0.030691,245.0,C̫te d'Ivoire,CIV,CIV,20210210
0.291577,0.016414,751.0,Croatia,HRV,HRV,20210210
0.349734,0.010029,2265.0,Czech Republic,CZE,CZE,20210210
0.35118,0.042987,130.0,Democratic Republic of the Congo,COD,COD,20210210
0.231456,0.013584,969.0,Denmark,DNK,DNK,20210210
0.356522,0.016957,794.0,Dominican Republic,DOM,DOM,20210210
0.347304,0.010356,2133.0,Ecuador,ECU,ECU,20210210
0.352526,0.00952,2515.0,Egypt,EGY,EGY,20210210
0.319839,0.015457,924.0,El Salvador,SLV,SLV,20210210
0.216285,0.02555,248.0,Ethiopia,ETH,ETH,20210210
0.273739,0.021915,411.0,Finland,FIN,FIN,20210210
0.378687,0.004657,10856.0,France,FRA,FRA,20210210
0.269034,0.004884,8251.0,Germany,DEU,DEU,20210210
0.338533,0.017348,759.0,Ghana,GHA,GHA,20210210
0.319122,0.010616,1941.0,Greece,GRC,GRC,20210210
0.297068,0.016258,800.0,Guatemala,GTM,GTM,20210210
0.357957,0.046359,107.0,Haiti,HTI,HTI,20210210
0.366175,0.017548,766.0,Honduras,HND,HND,20210210
0.385837,0.020926,549.0,Hong Kong,HKG,HKG,20210210
0.297014,0.008562,2857.0,Hungary,HUN,HUN,20210210
0.179985,0.00465,6842.0,India,IND,IND,20210210
0.302879,0.007166,4131.0,Indonesia,IDN,IDN,20210210
0.282935,0.012893,1250.0,Iraq,IRQ,IRQ,20210210
0.196781,0.015593,654.0,Ireland,IRL,IRL,20210210
0.310477,0.018615,601.0,Israel,ISR,ISR,20210210
0.239156,0.005304,6474.0,Italy,ITA,ITA,20210210
0.290056,0.002882,24837.0,Japan,JPN,JPN,20210210
0.337033,0.01745,750.0,Jordan,JOR,JOR,20210210
0.173048,0.016316,549.0,Kazakhstan,KAZ,KAZ,20210210
0.208522,0.014361,795.0,Kenya,KEN,KEN,20210210
0.304557,0.033798,194.0,Kuwait,KWT,KWT,20210210
0.190291,0.027655,195.0,Kyrgyzstan,KGZ,KGZ,20210210
0.295368,0.019915,524.0,Lebanon,LBN,LBN,20210210
0.304498,0.021707,455.0,Libya,LBY,LBY,20210210
0.361688,0.011048,1899.0,Malaysia,MYS,MYS,20210210
0.487909,0.048761,105.0,Mali,MLI,MLI,20210210
0.272086,0.00393,12831.0,Mexico,MEX,MEX,20210210
0.179226,0.021281,331.0,Moldova,MDA,MDA,20210210
0.291808,0.021097,478.0,Morocco,MAR,MAR,20210210
0.25748,0.02337,355.0,Mozambique,MOZ,MOZ,20210210
0.109325,0.031328,102.0,Myanmar,MMR,MMR,20210210
0.240342,0.017969,578.0,Nepal,NPL,NPL,20210210
