pct_hes_dontlike,hes_dontlike_se,pct_hes_dontlike_unw,hes_dontlike_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.012686,0.003548,0.017895,0.002995,1397.0,Vietnam,VNM,VNM,20210209
0.137464,0.024921,0.16055,0.023375,218.0,Algeria,DZA,DZA,20210210
0.042652,0.006217,0.044037,0.006123,1090.0,Argentina,ARG,ARG,20210210
0.07136,0.010136,0.06,0.010987,550.0,Australia,AUS,AUS,20210210
0.144541,0.022669,0.151394,0.02224,251.0,Austria,AUT,AUT,20210210
0.024088,0.014029,0.040404,0.010924,198.0,Bangladesh,BGD,BGD,20210210
0.0986,0.025848,0.097744,0.025948,133.0,Belarus,BLR,BLR,20210210
0.107536,0.017553,0.095745,0.018481,282.0,Belgium,BEL,BEL,20210210
0.075323,0.014747,0.075,0.014776,320.0,Bolivia,BOL,BOL,20210210
0.06414,0.004672,0.056488,0.004958,2443.0,Brazil,BRA,BRA,20210210
0.102586,0.019686,0.122302,0.018231,278.0,Bulgaria,BGR,BGR,20210210
0.106872,0.010662,0.102469,0.010862,810.0,Canada,CAN,CAN,20210210
0.069535,0.011112,0.052239,0.012702,402.0,Chile,CHL,CHL,20210210
0.059136,0.007236,0.053608,0.007578,970.0,Colombia,COL,COL,20210210
0.08973,0.025583,0.079646,0.027005,113.0,Costa Rica,CRI,CRI,20210210
0.128312,0.023536,0.095541,0.026776,157.0,Croatia,HRV,HRV,20210210
0.126003,0.015657,0.132196,0.01534,469.0,Czech Republic,CZE,CZE,20210210
0.106563,0.022615,0.115,0.021873,200.0,Denmark,DNK,DNK,20210210
0.128977,0.024868,0.124294,0.025265,177.0,Dominican Republic,DOM,DOM,20210210
0.043536,0.011313,0.057007,0.009957,421.0,Ecuador,ECU,ECU,20210210
0.066132,0.012247,0.083821,0.010983,513.0,Egypt,EGY,EGY,20210210
0.099051,0.022547,0.106383,0.021845,188.0,El Salvador,SLV,SLV,20210210
0.0927,0.006315,0.092293,0.006327,2102.0,France,FRA,FRA,20210210
0.09503,0.007238,0.093711,0.007284,1622.0,Germany,DEU,DEU,20210210
0.15258,0.027154,0.136646,0.028427,161.0,Ghana,GHA,GHA,20210210
