,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
167,0.022357,0.021838,0.141743,0.72403,0.22022,0.025184,,,,,,,,,,,,0.996493,0.324356,0.598555,0.062755
168,0.024101,0.024068,0.133009,0.719763,0.216836,0.026982,,,,,,,,,,,,0.995096,0.322288,0.598096,0.065352
169,0.021459,0.021425,0.126528,0.71868,0.215145,0.029266,,,,,,,,,,,,0.993286,0.329134,0.594981,0.066028
170,0.019109,0.018752,0.123304,0.721688,0.222798,0.031235,,,,,,,,,,,,0.991667,0.323878,0.606127,0.069015
171,0.018397,0.018837,0.120027,0.718951,0.218524,0.031977,,,,,,,,,,,,0.992404,0.328556,0.604555,0.066809
172,0.017327,0.017833,0.116755,0.713192,0.212807,0.030887,,,,,,,,,,,,0.992211,0.32378,0.603293,0.064064
173,0.016966,0.016619,0.110258,0.708646,0.218951,0.028301,,,,,,,,,,,,0.990687,0.32976,0.590591,0.061429
174,0.012995,0.012647,0.108693,0.705309,0.226222,0.020967,,,,,,,,,,,,0.991607,0.323439,0.599542,0.058643
175,0.011351,0.011175,0.100669,0.71149,0.214739,0.018763,,,,,,,,,,,,0.992714,0.32331,0.601645,0.05793
176,0.01234,0.012585,0.097311,0.708928,0.212769,0.018893,,,,,,,,,,,,0.994816,0.31837,0.606338,0.054656
177,0.012332,0.01291,0.088888,0.706926,0.200904,0.017381,,,,,,,,,,,,0.995019,0.320093,0.594745,0.05546
178,0.010908,0.011013,0.089734,0.708335,0.20378,0.016441,,,,,,,,,,,,0.995309,0.317192,0.595651,0.061384
179,0.010664,0.010699,0.086421,0.711982,0.201537,0.015727,,,,,,,,,,,,0.995752,0.31384,0.605891,0.062944
180,0.009416,0.00985,0.082409,0.715799,0.197338,0.014862,,,,,,,,,,,,0.996862,0.315309,0.607724,0.063255
181,0.011055,0.011848,0.079899,0.718942,0.194775,0.0152,,,,,,,,,,,,0.996419,0.320999,0.599974,0.065813
182,0.012186,0.013622,0.077955,0.719699,0.206035,0.015139,,,,,,,,,,,,0.996248,0.316306,0.601862,0.065418
183,0.015474,0.016387,0.081718,0.719581,0.209889,0.01492,,,,,,,,,,,,0.995808,0.321336,0.592823,0.063132
184,0.015168,0.016151,0.084244,0.723308,0.222597,0.013429,,,,,,,,,,,,0.997059,0.317364,0.604728,0.061932
185,0.016757,0.01741,0.082408,0.723155,0.218884,0.016527,,,,,,,,,,,,0.996584,0.320529,0.597305,0.059511
186,0.020657,0.022396,0.078075,0.72438,0.22282,0.020439,,,,,,,,,,,,0.996765,0.330709,0.58495,0.062939
187,0.019983,0.022362,0.077926,0.712924,0.234445,0.021493,,,,,,,,,,,,0.995947,0.318049,0.598654,0.060247
188,0.018525,0.020115,0.081279,0.713204,0.236533,0.022402,,,,,,,,,,,,0.995208,0.314694,0.604063,0.056824
189,0.01847,0.019369,0.080266,0.705509,0.230487,0.026348,,,,,,,,,,,,0.995251,0.323137,0.593273,0.058102
190,0.017637,0.018167,0.073321,0.706715,0.233099,0.027297,,,,,,,,,,,,0.995859,0.317085,0.605508,0.061565
191,0.01926,0.019768,0.070256,0.688935,0.225927,0.028612,,,,,,,,,,,,0.996198,0.332764,0.582964,0.059029
192,0.017731,0.019719,0.070567,0.680282,0.231575,0.027508,,,,,,,,,,,,0.995998,0.327172,0.596273,0.05818
193,0.013968,0.014928,0.071296,0.679356,0.229748,0.024303,,,,,,,,,,,,0.995947,0.323829,0.60212,0.057418
194,0.01723,0.017423,0.079179,0.679527,0.223453,0.025665,,,,,,,,,,,,0.997079,0.333667,0.58867,0.060989
195,0.019285,0.019953,0.072311,0.677688,0.220378,0.030873,,,,,,,,,,,,0.998139,0.345085,0.577281,0.059953
196,0.022969,0.024363,0.076444,0.676589,0.220432,0.028241,,,,,,,,,,,,0.998803,0.344691,0.576941,0.062654
197,0.020943,0.023014,0.079633,0.67552,0.22168,0.029103,,,,,,,,,,,,0.998828,0.347365,0.577274,0.059796
198,0.020518,0.023024,0.082125,0.688871,0.222302,0.029895,,,,,,,,,,,,0.997871,0.334454,0.599336,0.065689
199,0.020634,0.022119,0.080467,0.698533,0.217219,0.026874,,,,,,,,,,,,0.998836,0.339635,0.585289,0.07156
200,0.022456,0.024052,0.086084,0.694584,0.222689,0.030639,,,,,,,,,,,,0.998017,0.33643,0.586462,0.072117
201,0.021507,0.023348,0.082259,0.704915,0.225212,0.032535,,,,,,,,,,,,0.997939,0.3384,0.58759,0.075812
202,0.02007,0.021845,0.081163,0.71218,0.217238,0.033189,,,,,,,,,,,,0.99661,0.327503,0.599717,0.076937
203,0.020503,0.021552,0.082885,0.715094,0.223154,0.035936,,,,,,,,,,,,0.9961,0.335243,0.593824,0.076064
204,0.020775,0.020982,0.087318,0.710483,0.222693,0.037049,,,,,,,,,,,,0.995464,0.339238,0.586654,0.078704
205,0.020944,0.021052,0.08782,0.712829,0.220511,0.035804,,,,,,,,,,,,0.996103,0.349181,0.573196,0.081224
206,0.02103,0.021844,0.092022,0.721092,0.223374,0.037524,,,,,,,,,,,,0.9964,0.344025,0.582497,0.077098
207,0.02019,0.0215,0.095735,0.721169,0.225685,0.039276,,,,,,,,,,,,0.996044,0.336769,0.590268,0.078016
208,0.017949,0.018897,0.096844,0.715113,0.223556,0.037705,,,,,,,,,,,,0.995473,0.329999,0.597558,0.075612
209,0.01715,0.017397,0.104887,0.711673,0.229321,0.03623,,,,,,,,,,,,0.994806,0.328966,0.596944,0.077244
210,0.015084,0.015529,0.107071,0.713626,0.228457,0.033779,,,,,,,,,,,,0.994746,0.324935,0.600771,0.076268
211,0.016984,0.018469,0.102398,0.71555,0.231004,0.032259,,,,,,,,,,,,0.99288,0.316794,0.601856,0.077662
212,0.017375,0.01908,0.099227,0.713631,0.235809,0.034443,,,,,,,,,,,,0.992736,0.309427,0.611827,0.07719
213,0.016879,0.018108,0.095389,0.70304,0.238334,0.034627,,,,,,,,,,,,0.992553,0.311588,0.608324,0.078734
214,0.017884,0.019008,0.08858,0.707133,0.235375,0.031042,,,,,,,,,,,,0.992883,0.312127,0.605822,0.076795
215,0.019543,0.021291,0.089798,0.7063,0.240122,0.031763,,,,,,,,,,,,0.992222,0.31359,0.602753,0.078668
216,0.020044,0.022715,0.082967,0.703186,0.240934,0.031256,,,,,,,,,,,,0.993414,0.314825,0.601287,0.076881
217,0.023108,0.025005,0.079266,0.69882,0.245188,0.035044,,,,,,,,,,,,0.992983,0.309013,0.604465,0.083211
218,0.018861,0.020043,0.085753,0.695138,0.246676,0.032947,,,,,,,,,,,,0.995109,0.318618,0.597976,0.078484
219,0.019227,0.020206,0.091085,0.693827,0.247052,0.0335,,,,,,,,,,,,0.995318,0.320097,0.593692,0.083546
