,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
134,0.0028,0.002925,0.930919,0.544136,0.34008,0.009031,,,,,,,,,,,,0.998398,0.35828,0.582089,0.043586
135,0.002766,0.002903,0.931348,0.543718,0.34074,0.009431,,,,,,,,,,,,0.997762,0.359659,0.581039,0.04219
136,0.002732,0.002904,0.93009,0.543725,0.340817,0.009235,,,,,,,,,,,,0.997463,0.358257,0.583474,0.042228
137,0.002131,0.002301,0.930335,0.545929,0.341338,0.008528,,,,,,,,,,,,0.997251,0.356581,0.585246,0.042074
138,0.002261,0.002387,0.931224,0.543842,0.341941,0.00836,,,,,,,,,,,,0.996795,0.358691,0.583714,0.041777
139,0.002515,0.002852,0.930813,0.546952,0.34173,0.008004,,,,,,,,,,,,0.996559,0.356937,0.584484,0.041999
140,0.002243,0.00257,0.930309,0.542182,0.343135,0.00816,,,,,,,,,,,,0.996681,0.353961,0.586808,0.041753
141,0.002347,0.002711,0.930773,0.544821,0.342944,0.008509,,,,,,,,,,,,0.996449,0.352001,0.58819,0.041449
142,0.002563,0.002973,0.931023,0.547267,0.3453,0.00755,,,,,,,,,,,,0.996813,0.348349,0.591827,0.043654
143,0.002685,0.003201,0.933538,0.545077,0.344373,0.007446,,,,,,,,,,,,0.997139,0.345167,0.595878,0.042853
144,0.002739,0.003249,0.935382,0.542653,0.341671,0.007954,,,,,,,,,,,,0.997321,0.343209,0.599483,0.043321
145,0.002811,0.003343,0.935054,0.54272,0.341764,0.008084,,,,,,,,,,,,0.997897,0.34503,0.597461,0.04385
146,0.002619,0.003045,0.935767,0.54015,0.343644,0.008136,,,,,,,,,,,,0.997718,0.344156,0.598032,0.044695
147,0.002686,0.003255,0.936203,0.543637,0.344822,0.007797,,,,,,,,,,,,0.99722,0.344943,0.598994,0.045032
148,0.002765,0.003361,0.936299,0.54116,0.345709,0.007788,,,,,,,,,,,,0.997149,0.347208,0.597325,0.045696
149,0.002362,0.003025,0.936773,0.535578,0.344892,0.008315,,,,,,,,,,,,0.997053,0.347399,0.596565,0.046135
